epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5943.45,1.06685,4.98008,1.357,0.10985,0.67151,0.16325,0.12553,0.85165,4.60323,1.14653,8.66473e-05,8.66473e-05,8.66473e-05
2,7925.74,0.95564,3.98897,1.25461,0.2607,0.34742,0.2929,0.23227,0.8634,3.65731,1.16219,0.000157057,0.000157057,0.000157057
3,9930.48,0.94572,3.23741,1.22832,0.56364,0.35298,0.36878,0.2769,0.86061,2.89451,1.14086,0.000210108,0.000210108,0.000210108
4,12282.4,0.89887,2.71639,1.17261,0.47463,0.24595,0.23554,0.19194,0.77185,2.46099,1.0899,0.000184889,0.000184889,0.000184889
5,15078.7,0.8517,2.33118,1.15117,0.75516,0.49209,0.51603,0.42528,0.76059,2.1242,1.0747,0.000158852,0.000158852,0.000158852
6,16914.5,0.81127,2.06895,1.11132,0.8168,0.6457,0.71663,0.57209,0.74426,2.01916,1.05811,0.000132815,0.000132815,0.000132815
7,18640,0.78569,1.87735,1.07904,0.81398,0.65514,0.69958,0.57315,0.72387,1.85197,1.03368,0.000106778,0.000106778,0.000106778
8,21285.1,0.74993,1.79214,1.05617,0.87194,0.68068,0.7238,0.60209,0.72547,1.69977,1.04245,8.0741e-05,8.0741e-05,8.0741e-05
9,24231.2,0.74447,1.6893,1.04726,0.85693,0.61815,0.65177,0.53501,0.71178,1.6406,1.03703,5.4704e-05,5.4704e-05,5.4704e-05
10,25009.3,0.70667,1.59814,1.02299,0.89234,0.85664,0.89351,0.73431,0.69408,1.59069,1.02769,2.8667e-05,2.8667e-05,2.8667e-05
